notice_id,scenario_id,event_id,source_type,wording_variant,benchmark_split,uncertainty_case,report_timestep,text,canonical
OPS-101-recovery-single_message,v3_route4_detour,OPS-101,driver_chat,single_message,development,recovery,14,Driver 4 re OPS-101: The affected buses and chargers for water-main detour on route block 4 are confirmed back to normal. dashboard is a bit flaky; conf 0.96. Recovery confirmed: restore nominal assumptions and replan now.,"{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""service_delay"",""phase"":""recovery"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":14,""expected_end_timestep"":null,""uncertainty"":false,""uncertainty_details"":{""confidence_level"":0.96,""provisional"":false,""conflicting_evidence"":[],""estimates"":[{""parameter"":""delay_minutes"",""asset_id"":4,""lower_bound"":0.0,""upper_bound"":0.0,""selected_value"":0.0,""unit"":""minutes"",""selection_policy"":""restored_nominal""},{""parameter"":""energy_multiplier"",""asset_id"":4,""lower_bound"":1.0,""upper_bound"":1.0,""selected_value"":1.0,""unit"":""multiplier"",""selection_policy"":""restored_nominal""}],""recommended_action"":""optimize"",""rationale"":""Confirmed recovery restores nominal optimizer assumptions.""},""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":0},""energy_multiplier_by_bus"":{""4"":1.0},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
OPS-101-stable-single_message,v3_route4_detour,OPS-101,driver_chat,single_message,development,stable,15,Driver 4 re OPS-101: Post-recovery monitoring is normal; a message about a break-room charger is unrelated to fleet operations. dashboard is a bit flaky; conf 1.00. No new operational restriction; no replan is needed.,"{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""informational"",""phase"":""stable"",""affected_buses"":[],""affected_chargers"":[],""effective_timestep"":15,""expected_end_timestep"":null,""uncertainty"":false,""uncertainty_details"":{""confidence_level"":1.0,""provisional"":false,""conflicting_evidence"":[],""estimates"":[],""recommended_action"":""wait"",""rationale"":""Post-recovery chatter contains no new operational restriction.""},""material"":false,""updates"":{""delay_minutes_by_bus"":{},""energy_multiplier_by_bus"":{},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
OPS-101-warning-driver_chat,v3_route4_detour,OPS-101,driver_chat,driver_chat,development,warning,9,"[OPS-101] Driver 4: A conditional warning was raised for water-main detour on route block 4. unit 4 delay 20-30 min; unit 4 traction energy 1.08-1.12x normal.
Telemetry desk: The dashboard is delayed and does not fully match the field estimate. Confidence 0.45.
Dispatcher: Request confirmation and do not replan yet.","{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""service_delay"",""phase"":""warning"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":9,""expected_end_timestep"":null,""uncertainty"":true,""uncertainty_details"":{""confidence_level"":0.45,""provisional"":true,""conflicting_evidence"":[""field_report_vs_initial_telemetry""],""estimates"":[{""parameter"":""delay_minutes"",""asset_id"":4,""lower_bound"":20.0,""upper_bound"":30.0,""selected_value"":null,""unit"":""minutes"",""selection_policy"":""no_update_pending_confirmation""},{""parameter"":""energy_multiplier"",""asset_id"":4,""lower_bound"":1.08,""upper_bound"":1.12,""selected_value"":null,""unit"":""multiplier"",""selection_policy"":""no_update_pending_confirmation""}],""recommended_action"":""request_confirmation"",""rationale"":""Conditional warning lacks confirmation; request confirmation without changing optimizer inputs.""},""material"":true,""updates"":{""delay_minutes_by_bus"":{},""energy_multiplier_by_bus"":{},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
OPS-101-onset-driver_chat,v3_route4_detour,OPS-101,driver_chat,driver_chat,development,onset,10,"[OPS-101] Driver 4: The event is now confirmed for water-main detour on route block 4. unit 4 delay 20-30 min; unit 4 traction energy 1.08-1.12x normal.
Telemetry desk: The dashboard is delayed and does not fully match the field estimate. Confidence 0.72.
Dispatcher: Confirmed material: apply the conservative bound provisionally and replan now.","{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""service_delay"",""phase"":""onset"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":10,""expected_end_timestep"":null,""uncertainty"":true,""uncertainty_details"":{""confidence_level"":0.72,""provisional"":true,""conflicting_evidence"":[""field_estimate_vs_fluctuating_dashboard""],""estimates"":[{""parameter"":""delay_minutes"",""asset_id"":4,""lower_bound"":20.0,""upper_bound"":30.0,""selected_value"":30.0,""unit"":""minutes"",""selection_policy"":""conservative_upper""},{""parameter"":""energy_multiplier"",""asset_id"":4,""lower_bound"":1.08,""upper_bound"":1.12,""selected_value"":1.12,""unit"":""multiplier"",""selection_policy"":""conservative_upper""}],""recommended_action"":""optimize"",""rationale"":""Material event is confirmed; apply the frozen conservative parameter policy provisionally.""},""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":30},""energy_multiplier_by_bus"":{""4"":1.12},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
OPS-101-persistence-driver_chat,v3_route4_detour,OPS-101,driver_chat,driver_chat,development,persistence,11,"[OPS-101] Driver 4: The same event remains active. Field reports persist but delayed telemetry still disagrees. unit 4 delay 20-30 min; unit 4 traction energy 1.08-1.12x normal.
Telemetry desk: The dashboard is delayed and does not fully match the field estimate. Confidence 0.60.
Dispatcher: No selected value changed; keep the current plan and wait.","{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""service_delay"",""phase"":""persistence"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":11,""expected_end_timestep"":null,""uncertainty"":true,""uncertainty_details"":{""confidence_level"":0.6,""provisional"":true,""conflicting_evidence"":[""driver_or_maintenance_report_vs_delayed_telemetry""],""estimates"":[{""parameter"":""delay_minutes"",""asset_id"":4,""lower_bound"":20.0,""upper_bound"":30.0,""selected_value"":30.0,""unit"":""minutes"",""selection_policy"":""conservative_upper""},{""parameter"":""energy_multiplier"",""asset_id"":4,""lower_bound"":1.08,""upper_bound"":1.12,""selected_value"":1.12,""unit"":""multiplier"",""selection_policy"":""conservative_upper""}],""recommended_action"":""wait"",""rationale"":""No selected operational value has changed; wait and avoid duplicate optimization.""},""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":30},""energy_multiplier_by_bus"":{""4"":1.12},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
OPS-101-severity_change-driver_chat,v3_route4_detour,OPS-101,driver_chat,driver_chat,development,severity_change,12,"[OPS-101] Driver 4: A verified correction supersedes the previous estimate for water-main detour on route block 4. unit 4 delay 30-40 min; unit 4 traction energy 1.12-1.18x normal.
Telemetry desk: The dashboard is delayed and does not fully match the field estimate. Confidence 0.88.
Dispatcher: Verified correction: supersede the earlier values and replan now.","{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""service_delay"",""phase"":""severity_change"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":12,""expected_end_timestep"":null,""uncertainty"":false,""uncertainty_details"":{""confidence_level"":0.88,""provisional"":false,""conflicting_evidence"":[],""estimates"":[{""parameter"":""delay_minutes"",""asset_id"":4,""lower_bound"":30.0,""upper_bound"":40.0,""selected_value"":40.0,""unit"":""minutes"",""selection_policy"":""conservative_upper""},{""parameter"":""energy_multiplier"",""asset_id"":4,""lower_bound"":1.12,""upper_bound"":1.18,""selected_value"":1.18,""unit"":""multiplier"",""selection_policy"":""conservative_upper""}],""recommended_action"":""optimize"",""rationale"":""A verified correction supersedes earlier values and requires reoptimization.""},""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":40},""energy_multiplier_by_bus"":{""4"":1.18},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
OPS-101-recovery-driver_chat,v3_route4_detour,OPS-101,driver_chat,driver_chat,development,recovery,14,"[OPS-101] Driver 4: The affected buses and chargers for water-main detour on route block 4 are confirmed back to normal.
Telemetry desk: The dashboard is delayed and does not fully match the field estimate. Confidence 0.96.
Dispatcher: Recovery confirmed: restore nominal assumptions and replan now.","{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""service_delay"",""phase"":""recovery"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":14,""expected_end_timestep"":null,""uncertainty"":false,""uncertainty_details"":{""confidence_level"":0.96,""provisional"":false,""conflicting_evidence"":[],""estimates"":[{""parameter"":""delay_minutes"",""asset_id"":4,""lower_bound"":0.0,""upper_bound"":0.0,""selected_value"":0.0,""unit"":""minutes"",""selection_policy"":""restored_nominal""},{""parameter"":""energy_multiplier"",""asset_id"":4,""lower_bound"":1.0,""upper_bound"":1.0,""selected_value"":1.0,""unit"":""multiplier"",""selection_policy"":""restored_nominal""}],""recommended_action"":""optimize"",""rationale"":""Confirmed recovery restores nominal optimizer assumptions.""},""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":0},""energy_multiplier_by_bus"":{""4"":1.0},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
OPS-101-stable-driver_chat,v3_route4_detour,OPS-101,driver_chat,driver_chat,development,stable,15,"[OPS-101] Driver 4: Post-recovery monitoring is normal; a message about a break-room charger is unrelated to fleet operations.
Telemetry desk: The dashboard is delayed and does not fully match the field estimate. Confidence 1.00.
Dispatcher: No new operational restriction; no replan is needed.","{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""informational"",""phase"":""stable"",""affected_buses"":[],""affected_chargers"":[],""effective_timestep"":15,""expected_end_timestep"":null,""uncertainty"":false,""uncertainty_details"":{""confidence_level"":1.0,""provisional"":false,""conflicting_evidence"":[],""estimates"":[],""recommended_action"":""wait"",""rationale"":""Post-recovery chatter contains no new operational restriction.""},""material"":false,""updates"":{""delay_minutes_by_bus"":{},""energy_multiplier_by_bus"":{},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
OPS-101-warning-uncertain_chat,v3_route4_detour,OPS-101,driver_chat,uncertain_chat,development,warning,9,"[OPS-101] Driver 4: A conditional warning was raised for water-main detour on route block 4. unit 4 delay 20-30 min; unit 4 traction energy 1.08-1.12x normal.
Depot chat: coffee machine charger is acting up again (not a fleet asset).
Telemetry desk: My first screen disagrees with the field report; the feed may be stale.
Maintenance: Treat the operational confidence as 0.45; earlier estimates may be superseded.
Dispatcher: Request confirmation and do not replan yet.","{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""service_delay"",""phase"":""warning"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":9,""expected_end_timestep"":null,""uncertainty"":true,""uncertainty_details"":{""confidence_level"":0.45,""provisional"":true,""conflicting_evidence"":[""field_report_vs_initial_telemetry""],""estimates"":[{""parameter"":""delay_minutes"",""asset_id"":4,""lower_bound"":20.0,""upper_bound"":30.0,""selected_value"":null,""unit"":""minutes"",""selection_policy"":""no_update_pending_confirmation""},{""parameter"":""energy_multiplier"",""asset_id"":4,""lower_bound"":1.08,""upper_bound"":1.12,""selected_value"":null,""unit"":""multiplier"",""selection_policy"":""no_update_pending_confirmation""}],""recommended_action"":""request_confirmation"",""rationale"":""Conditional warning lacks confirmation; request confirmation without changing optimizer inputs.""},""material"":true,""updates"":{""delay_minutes_by_bus"":{},""energy_multiplier_by_bus"":{},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
OPS-101-onset-uncertain_chat,v3_route4_detour,OPS-101,driver_chat,uncertain_chat,development,onset,10,"[OPS-101] Driver 4: The event is now confirmed for water-main detour on route block 4. unit 4 delay 20-30 min; unit 4 traction energy 1.08-1.12x normal.
Depot chat: coffee machine charger is acting up again (not a fleet asset).
Telemetry desk: My first screen disagrees with the field report; the feed may be stale.
Maintenance: Treat the operational confidence as 0.72; earlier estimates may be superseded.
Dispatcher: Confirmed material: apply the conservative bound provisionally and replan now.","{""event_id"":""OPS-101"",""source_type"":""driver_chat"",""event_type"":""service_delay"",""phase"":""onset"",""affected_buses"":[4],""affected_chargers"":[],""effective_timestep"":10,""expected_end_timestep"":null,""uncertainty"":true,""uncertainty_details"":{""confidence_level"":0.72,""provisional"":true,""conflicting_evidence"":[""field_estimate_vs_fluctuating_dashboard""],""estimates"":[{""parameter"":""delay_minutes"",""asset_id"":4,""lower_bound"":20.0,""upper_bound"":30.0,""selected_value"":30.0,""unit"":""minutes"",""selection_policy"":""conservative_upper""},{""parameter"":""energy_multiplier"",""asset_id"":4,""lower_bound"":1.08,""upper_bound"":1.12,""selected_value"":1.12,""unit"":""multiplier"",""selection_policy"":""conservative_upper""}],""recommended_action"":""optimize"",""rationale"":""Material event is confirmed; apply the frozen conservative parameter policy provisionally.""},""material"":true,""updates"":{""delay_minutes_by_bus"":{""4"":30},""energy_multiplier_by_bus"":{""4"":1.12},""charger_power_kw"":{},""unavailable_chargers"":[]},""evidence"":[""canonical_uncertainty_policy_v1"",""trigger_uncertainty_chat_v3""]}"
