contrast,question,case,variant,mode,repetition,candidate_configuration,baseline_configuration,candidate_feasible,baseline_feasible,candidate_revenue_neutrality_compliant,baseline_revenue_neutrality_compliant,feasibility_outcome,valid_economic_comparison,mode_aligned_economic_gain,aggregator_revenue_delta,pto_cost_reduction,candidate_llm_total_tokens,candidate_llm_approximate_cost_usd
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,altruistic,4,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47814.0,0.00795707
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,altruistic,4,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47814.0,0.00795707
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_clustered_late_returns,uncertain_chat,altruistic,5,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,-5.770724766214231,0.3771972969481112,47693.0,0.00781567
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_clustered_late_returns,uncertain_chat,altruistic,5,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47693.0,0.00781567
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_clustered_late_returns,uncertain_chat,altruistic,5,agent_trigger_only,oracle_event_trigger,False,False,True,True,neither_feasible,False,,0.0,0.0,47693.0,0.00781567
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,selfish,1,agent_trigger_only,rule_text_event_trigger,True,False,True,True,candidate_only_feasible,False,,-2.5339080167441352e-08,-6.515648465210688e-08,61822.0,0.0117094
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,selfish,1,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-13.471403016556017,-16.34743631098658,61822.0,0.0117094
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,selfish,1,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,-2.533591825226722e-08,-2.533591825226722e-08,-6.5149492911587e-08,61822.0,0.0117094
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,selfish,2,agent_trigger_only,rule_text_event_trigger,True,False,True,True,candidate_only_feasible,False,,-2.5339080167441352e-08,-6.515648465210688e-08,62141.0,0.01045693
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,selfish,2,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-13.471403016556017,-16.34743631098658,62141.0,0.01045693
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,selfish,2,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,-2.533591825226722e-08,-2.533591825226722e-08,-6.5149492911587e-08,62141.0,0.01045693
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,selfish,3,agent_trigger_only,rule_text_event_trigger,True,False,True,True,candidate_only_feasible,False,,-3.161915174132446e-12,-6.991740519879386e-12,62529.0,0.01070498
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,selfish,3,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-13.4714029912201,-16.347436245837088,62529.0,0.01070498
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,selfish,3,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,62529.0,0.01070498
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,selfish,4,agent_trigger_only,rule_text_event_trigger,True,False,True,True,candidate_only_feasible,False,,-2.5339080167441352e-08,-6.515648465210688e-08,62115.0,0.01047988
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,selfish,4,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-13.471403016556017,-16.34743631098658,62115.0,0.01047988
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,selfish,4,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,-2.533591825226722e-08,-2.533591825226722e-08,-6.5149492911587e-08,62115.0,0.01047988
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,selfish,5,agent_trigger_only,rule_text_event_trigger,True,False,True,True,candidate_only_feasible,False,,-3.161915174132446e-12,-6.991740519879386e-12,62247.0,0.01062023
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,selfish,5,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-13.4714029912201,-16.347436245837088,62247.0,0.01062023
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,selfish,5,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,62247.0,0.01062023
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,altruistic,1,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,0.09418155310778076,-9.512292589135498,62423.0,0.0120354
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,altruistic,1,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,-6.165060223856502,-20.859300983912803,62423.0,0.0120354
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,altruistic,1,agent_trigger_only,oracle_event_trigger,False,True,True,True,baseline_only_feasible,False,,-2.047033900609563e-06,-4.912881379937062e-05,62423.0,0.0120354
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,altruistic,2,agent_trigger_only,rule_text_event_trigger,True,False,True,True,candidate_only_feasible,False,,0.09418360014168137,-9.512243460321699,62662.0,0.01081327
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,altruistic,2,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-6.165058176822601,-20.859251855099004,62662.0,0.01081327
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,altruistic,2,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,62662.0,0.01081327
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,altruistic,3,agent_trigger_only,rule_text_event_trigger,True,False,True,True,candidate_only_feasible,False,,0.09418360014168137,-9.512243460321699,62939.0,0.01103927
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,altruistic,3,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-6.165058176822601,-20.859251855099004,62939.0,0.01103927
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,altruistic,3,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,62939.0,0.01103927
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,altruistic,4,agent_trigger_only,rule_text_event_trigger,True,False,True,True,candidate_only_feasible,False,,0.09418360014168137,-9.512243460321699,62301.0,0.01037342
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,altruistic,4,agent_trigger_only,numerical_event_trigger,True,False,True,True,candidate_only_feasible,False,,-6.165058176822601,-20.859251855099004,62301.0,0.01037342
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,altruistic,4,agent_trigger_only,oracle_event_trigger,True,True,True,True,both_feasible,True,0.0,0.0,0.0,62301.0,0.01037342
agent_vs_rule_text,Does LLM interpretation improve on a frozen stateful text rule?,aw_extended_energy_shift,uncertain_chat,altruistic,5,agent_trigger_only,rule_text_event_trigger,False,False,True,True,neither_feasible,False,,0.09418155310778076,-9.512292589135498,62372.0,0.01070182
agent_vs_numerical,Does advance unstructured information improve on causal sensor triggering?,aw_extended_energy_shift,uncertain_chat,altruistic,5,agent_trigger_only,numerical_event_trigger,False,False,True,True,neither_feasible,False,,-6.165060223856502,-20.859300983912803,62372.0,0.01070182
agent_vs_oracle,How close is the Agent to perfectly structured advance information?,aw_extended_energy_shift,uncertain_chat,altruistic,5,agent_trigger_only,oracle_event_trigger,False,True,True,True,baseline_only_feasible,False,,-2.047033900609563e-06,-4.912881379937062e-05,62372.0,0.01070182
