case,mode,configuration,repetition,canonical_priority_satisfied,canonical_priority_compliance_gap,projected_full_day_pto_cost,projected_full_day_aggregator_revenue,optimization_strategy,lexicographic_priority_applied,lexicographic_optimality_proven,minimum_operational_priority_slack,priority_detected,objective_correct,assets_correct,window_correct,target_correct,interpretation_exact,mode_aligned_score
aw_combined_evening,selfish,rule_text_evaluator,1,True,0.135036,138.398103,28.89715,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,28.89715
aw_combined_evening,selfish,structured_evaluator_oracle,1,True,0.135036,138.398103,28.89715,baseline_weighted_service_and_economic,False,,,True,True,True,True,True,True,28.89715
aw_route6_late_return,altruistic,agent_evaluator_raw_text,1,True,0.014477,124.035485,5.644234,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,-124.035485
aw_route6_late_return,altruistic,agent_evaluator_raw_text,2,True,0.014477,124.035485,5.644234,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,-124.035485
aw_route6_late_return,altruistic,agent_evaluator_raw_text,3,True,0.014477,124.035485,5.644234,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,-124.035485
aw_route6_late_return,altruistic,agent_evaluator_raw_text,4,True,0.014477,124.035485,5.644234,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,-124.035485
aw_route6_late_return,altruistic,agent_evaluator_raw_text,5,True,0.014477,124.035485,5.644234,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,-124.035485
aw_route6_late_return,altruistic,evaluator_removal_control,1,False,-0.090186,123.153139,9.489875,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,-123.153139
aw_route6_late_return,altruistic,rule_text_evaluator,1,True,0.014477,124.035485,5.644234,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,-124.035485
aw_route6_late_return,altruistic,structured_evaluator_oracle,1,True,0.014477,124.035485,5.644234,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,-124.035485
aw_route6_late_return,selfish,agent_evaluator_raw_text,1,True,0.014477,142.222147,12.929286,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,12.929286
aw_route6_late_return,selfish,agent_evaluator_raw_text,2,True,0.014477,142.222147,12.929286,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,12.929286
aw_route6_late_return,selfish,agent_evaluator_raw_text,3,True,0.014477,142.222147,12.929286,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,12.929286
aw_route6_late_return,selfish,agent_evaluator_raw_text,4,True,0.014477,142.222147,12.929286,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,12.929286
aw_route6_late_return,selfish,agent_evaluator_raw_text,5,True,0.014477,142.222147,12.929286,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,12.929286
aw_route6_late_return,selfish,evaluator_removal_control,1,False,-0.037321,142.222147,12.929286,baseline_weighted_service_and_economic,False,,,False,False,False,False,False,False,12.929286
aw_route6_late_return,selfish,rule_text_evaluator,1,True,0.014477,142.222147,12.929286,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,12.929286
aw_route6_late_return,selfish,structured_evaluator_oracle,1,True,0.014477,142.222147,12.929286,lexicographic_soft_operational_priority,True,1.0,0.0,True,True,True,True,True,True,12.929286
